Well_ID,Region,Operator,Maintenance_Type,Shift,Equipment_Status,Weather_Condition,Alert_Level,Production_Date,Last_Maintenance_Date,No_of_Incidents,Production_Barrels,Temperature_C
W-067,Texas,BP,Corrective,Day,Standby,Sunny,Medium,2024-08-11,2022-10-25,3,378.5748825768577,32.77219884631229
W-068,Texas,Chevron,Routine,Night,Failure,Sandstorm,Low,2023-12-30,2022-12-01,5,487.4576187867456,30.354552597047558
W-069,Qatar,TotalEnergies,Routine,Night,Active,Sandstorm,Low,2023-10-30,2023-03-17,2,413.0722572246078,27.264571937329016
W-070,Qatar,TotalEnergies,Routine,Day,Standby,Windy,High,2024-06-11,2022-07-08,0,722.5132291358796,35.508000066522634
W-071,Abu Dhabi,Chevron,Emergency,Night,Standby,Windy,Critical,2024-07-25,2023-06-02,5,440.00506748409146,43.62538704858197
W-072,Algeria,ExxonMobil,Emergency,Day,Failure,Sandstorm,Low,2024-03-28,2024-01-12,3,562.5737511955053,43.68816350054442
W-073,Algeria,ExxonMobil,Routine,Day,Standby,Windy,Critical,2023-09-25,2023-01-03,2,568.7920013931482,38.03951979889302
W-074,Texas,ExxonMobil,Emergency,Day,Active,Rainy,High,2023-12-22,2023-08-26,3,360.79918998553285,31.98663779775437
W-075,Algeria,Chevron,Corrective,Day,Failure,Cloudy,Critical,2024-02-25,2023-03-28,2,488.3875577433871,27.75259895468063
W-076,Texas,TotalEnergies,Corrective,Night,Failure,Cloudy,Medium,2023-04-27,2022-08-16,3,644.519151572846,40.23531092821356
W-077,Abu Dhabi,Chevron,Corrective,Night,Active,Rainy,Critical,2023-09-26,2023-05-16,4,395.21182269884207,37.23608400778551
W-078,Qatar,Chevron,Routine,Night,Failure,Cloudy,High,2024-05-12,2022-11-27,1,599.4758731377522,33.418859133447384
W-079,Qatar,ExxonMobil,Emergency,Day,Standby,Sunny,High,2024-01-28,2022-06-21,3,460.27040344388865,32.58353948843864
W-080,Qatar,Shell,Routine,Night,Standby,Rainy,High,2023-09-04,2023-06-16,2,639.6384827643924,38.00218288812921
W-081,Algeria,TotalEnergies,Emergency,Night,Active,Windy,Critical,2024-02-03,2023-10-29,2,709.6996330267027,30.866892410764265
W-082,Abu Dhabi,ExxonMobil,Corrective,Day,Standby,Rainy,Medium,2023-03-12,2022-12-24,0,259.05921204026606,36.19616083450021
W-083,Algeria,Shell,Routine,Day,Active,Sandstorm,Low,2023-08-29,2023-01-21,3,339.4237891869223,28.900891266195785
W-084,Algeria,Shell,Emergency,Night,Active,Windy,Medium,2024-04-20,2023-11-17,3,447.3788463524286,46.14255793219114
W-085,Abu Dhabi,BP,Emergency,Day,Standby,Sandstorm,Critical,2023-05-13,2023-03-03,2,675.8509305013138,31.564763071958524
W-086,Abu Dhabi,TotalEnergies,Corrective,Day,Active,Windy,Critical,2023-04-22,2023-01-13,1,563.8959265601532,38.241994781372334
W-087,Abu Dhabi,Shell,Routine,Day,Standby,Cloudy,Low,2024-07-24,2022-10-28,3,350.62980812346245,29.009891768325232
W-088,Abu Dhabi,ExxonMobil,Routine,Day,Failure,Rainy,Critical,2023-05-06,2023-04-25,4,581.4704390530997,34.18373420450308
W-089,Qatar,BP,Routine,Night,Failure,Sunny,High,2023-06-06,2022-09-01,4,390.3518320877855,39.423092783817104
W-090,North Sea,TotalEnergies,Corrective,Day,Active,Windy,High,2024-08-04,2023-06-12,5,604.4638321058427,40.504776903120046
W-091,North Sea,Chevron,Routine,Day,Standby,Windy,High,2024-03-16,2022-06-18,5,564.6757996824789,38.81644131551459
W-092,Abu Dhabi,ExxonMobil,Corrective,Day,Standby,Sandstorm,High,2024-02-24,2023-06-22,2,389.8265822690201,34.308778353384696
W-093,North Sea,Shell,Corrective,Day,Failure,Cloudy,High,2024-05-26,2022-11-14,3,492.0854679773727,31.670245019472365
W-094,North Sea,Shell,Corrective,Day,Failure,Sandstorm,Critical,2023-03-11,2023-02-25,3,646.9620513907106,29.611614407404304
W-095,Abu Dhabi,ExxonMobil,Emergency,Day,Standby,Sandstorm,Low,2024-02-28,2022-12-25,2,272.9555231404097,42.51899293885563
W-096,North Sea,Shell,Routine,Day,Active,Cloudy,Low,2023-10-30,2022-09-12,2,536.1330568542459,35.51685619994313
W-097,Algeria,BP,Routine,Day,Failure,Sunny,High,2024-05-12,2023-06-09,4,367.1720813739629,36.44119613544283
W-098,Texas,TotalEnergies,Corrective,Night,Active,Sandstorm,Critical,2023-11-01,2023-10-14,1,498.0574868901429,40.82684926883054
W-099,Texas,BP,Corrective,Day,Active,Sandstorm,Medium,2024-01-08,2023-12-28,6,554.9314684228735,37.93365641777518
W-100,Abu Dhabi,Shell,Routine,Night,Failure,Windy,Medium,2023-10-14,2022-09-24,1,741.5802768714009,34.362913734511835
W-101,Qatar,Chevron,Corrective,Day,Active,Cloudy,Critical,2023-10-14,2023-08-05,4,496.84426629943755,38.72201724190256
W-102,Abu Dhabi,TotalEnergies,Routine,Day,Active,Rainy,High,2024-04-05,2023-07-04,2,675.8630791066312,31.8872682574414
W-103,Qatar,TotalEnergies,Emergency,Day,Standby,Sunny,Low,2024-01-13,2022-12-24,4,399.14021759011933,27.244292612591693
W-104,Texas,ExxonMobil,Corrective,Day,Active,Sunny,Critical,2024-01-15,2022-06-12,3,440.5975924419828,42.059211210089245
W-105,Abu Dhabi,ExxonMobil,Routine,Night,Standby,Cloudy,Medium,2023-09-28,2023-07-19,5,570.4470315018419,32.30398260133111
W-106,Algeria,Chevron,Corrective,Day,Failure,Windy,Medium,2023-11-15,2023-09-10,5,524.2113258088355,33.478550186413244
W-107,North Sea,TotalEnergies,Routine,Day,Failure,Windy,Medium,2024-03-23,2023-06-15,1,460.5897341807238,33.91958287436905
W-108,Qatar,Chevron,Routine,Night,Standby,Cloudy,High,2024-05-10,2023-02-17,4,457.33826651747773,31.988973201411948
W-109,North Sea,ExxonMobil,Corrective,Night,Failure,Windy,Medium,2024-02-22,2023-04-12,2,659.99534671022,40.50666930754299
W-110,North Sea,ExxonMobil,Emergency,Day,Active,Sunny,Critical,2024-07-08,2022-09-28,3,465.38693947669117,36.872280967709806
W-111,Abu Dhabi,TotalEnergies,Routine,Night,Active,Sunny,Critical,2024-05-07,2023-08-25,1,377.49808151406836,33.481065501012665
W-112,North Sea,BP,Routine,Night,Active,Rainy,Medium,2023-12-04,2023-08-22,4,397.41492508907345,28.621655594825278
W-113,Algeria,Shell,Routine,Night,Failure,Cloudy,Critical,2024-02-07,2022-08-27,3,580.388136281794,36.51898907680377
W-114,North Sea,ExxonMobil,Emergency,Day,Active,Sandstorm,Medium,2024-07-09,2023-11-09,4,770.7826941454944,22.74695161210985
W-115,Abu Dhabi,ExxonMobil,Emergency,Day,Failure,Sandstorm,Medium,2024-01-07,2022-11-09,4,437.1220780042419,36.16373014284723
W-116,Algeria,BP,Corrective,Day,Active,Rainy,Low,2024-05-09,2024-01-11,4,757.8350630428115,41.71590222427699
W-117,Texas,BP,Emergency,Night,Standby,Rainy,High,2024-02-18,2023-01-16,3,498.6991078928211,35.32279204774527
W-118,North Sea,Chevron,Corrective,Day,Failure,Windy,High,2023-11-28,2022-09-15,1,466.4225324024438,41.03163651863015
W-119,Abu Dhabi,Chevron,Corrective,Night,Failure,Rainy,Low,2023-05-26,2022-12-29,5,390.7667514041898,28.85411213881123
W-120,Texas,Shell,Emergency,Day,Active,Rainy,Low,2023-09-13,2023-02-20,5,476.238343970102,45.19270697644413
W-121,Texas,Shell,Corrective,Day,Failure,Sandstorm,High,2024-08-03,2022-07-12,4,409.26312318175536,40.48642719270841
W-122,Qatar,TotalEnergies,Emergency,Night,Failure,Windy,Medium,2024-01-30,2023-05-13,5,399.63430111871793,37.37982931089112
W-123,Algeria,Chevron,Corrective,Day,Standby,Rainy,Medium,2023-12-05,2023-05-25,3,301.7539678873205,32.00802772554868
W-124,North Sea,ExxonMobil,Emergency,Night,Standby,Rainy,High,2024-07-13,2023-08-18,2,711.9340021579536,31.177389482527254
W-125,Abu Dhabi,Chevron,Emergency,Night,Active,Windy,Medium,2023-12-18,2022-06-18,5,627.7263129840774,34.6454628580231
W-126,Qatar,ExxonMobil,Corrective,Day,Standby,Cloudy,Low,2023-11-12,2023-04-21,6,532.5920441146994,41.01389114662782
W-127,Algeria,BP,Routine,Night,Active,Windy,Medium,2024-03-31,2022-07-02,3,482.71808459791026,28.422395845641617
W-128,Qatar,Chevron,Corrective,Day,Active,Sandstorm,Medium,2024-03-03,2023-07-26,0,499.33036426798435,35.05205254970849
W-129,Algeria,BP,Emergency,Day,Active,Cloudy,Critical,2023-04-26,2022-07-04,3,406.7709285329154,38.67110135831892
W-130,Algeria,Shell,Routine,Night,Failure,Sunny,Critical,2023-10-10,2023-08-17,1,363.9378200018522,39.64674408633777
W-131,North Sea,Shell,Corrective,Day,Standby,Windy,Critical,2023-10-11,2023-07-27,0,586.089693587709,38.65618250530849
W-132,Algeria,TotalEnergies,Corrective,Night,Active,Sandstorm,Medium,2023-08-15,2023-04-01,1,468.53327658892886,27.91203237065644
W-133,Qatar,Chevron,Corrective,Day,Standby,Cloudy,High,2023-11-07,2023-02-20,4,539.0882855634669,40.65888942260476
W-134,Algeria,BP,Routine,Day,Active,Windy,Low,2023-09-05,2022-08-18,2,300.5073243652176,35.33596828047848
W-135,North Sea,ExxonMobil,Emergency,Day,Standby,Rainy,Medium,2023-04-30,2022-11-22,8,462.14854376303964,29.572024220135248
W-136,North Sea,Shell,Corrective,Day,Standby,Windy,High,2023-09-05,2023-08-09,7,361.5968234675064,34.87915896329807
W-137,Qatar,Shell,Corrective,Day,Active,Sunny,Medium,2023-02-13,2022-12-18,3,558.0866902813923,25.206674283438552
W-138,Texas,ExxonMobil,Corrective,Night,Failure,Windy,Low,2023-12-12,2022-06-01,3,619.4333423092622,37.89149011505134
W-139,Texas,BP,Corrective,Night,Standby,Cloudy,Medium,2024-05-27,2023-05-23,3,675.1639267056582,34.36145266730975
W-140,Algeria,BP,Corrective,Night,Failure,Cloudy,Low,2024-03-11,2023-08-06,0,424.522432046497,28.649421718770846
W-141,Abu Dhabi,Chevron,Emergency,Night,Failure,Windy,Medium,2023-08-05,2023-06-07,3,364.65210895611574,33.549616968287225
W-142,Algeria,Chevron,Emergency,Night,Active,Cloudy,Low,2023-02-22,2022-07-20,3,449.7687670433279,31.462673904782616
W-143,Qatar,TotalEnergies,Corrective,Night,Active,Rainy,Medium,2023-05-02,2022-10-09,4,416.08244935835455,31.78208090525396
W-144,Qatar,Shell,Routine,Day,Active,Windy,Low,2023-11-24,2022-10-29,1,551.7480051375725,23.69483541970083
W-145,Qatar,Chevron,Emergency,Day,Standby,Rainy,Critical,2023-05-05,2023-03-15,3,331.66612494489175,26.639182899826654
W-146,Qatar,BP,Routine,Night,Active,Rainy,Medium,2023-11-23,2023-03-05,4,289.47259252631125,33.851505043214594
W-147,Qatar,ExxonMobil,Emergency,Night,Active,Sandstorm,Medium,2023-05-19,2023-03-20,4,458.4262043171151,32.9912470249432
W-148,North Sea,BP,Corrective,Day,Standby,Windy,High,2024-05-24,2023-12-13,2,587.1807277279308,39.869890809068636
W-149,Texas,Shell,Emergency,Day,Standby,Cloudy,High,2023-08-27,2023-06-18,5,376.7051970691257,31.841085106647608
W-150,Qatar,BP,Corrective,Day,Active,Rainy,Low,2023-05-28,2023-04-08,2,601.8935954727691,32.36509340174365
W-151,Abu Dhabi,TotalEnergies,Emergency,Night,Active,Sandstorm,Medium,2024-05-02,2023-03-01,4,543.840528083232,32.5988004208668
W-152,Abu Dhabi,Shell,Corrective,Night,Active,Windy,Low,2023-07-25,2022-08-29,3,685.6154704087248,34.014851371004525
W-153,Abu Dhabi,ExxonMobil,Corrective,Night,Active,Windy,Critical,2023-03-08,2022-12-14,3,403.7294400275493,35.45732033511984
W-154,Abu Dhabi,TotalEnergies,Corrective,Day,Failure,Sunny,High,2023-12-09,2023-03-03,2,307.2233759843765,32.968361945843704
W-155,North Sea,Shell,Corrective,Day,Failure,Sunny,Low,2023-12-15,2022-09-17,2,571.825011225813,37.85610743729788
W-156,Abu Dhabi,ExxonMobil,Routine,Night,Active,Rainy,Low,2024-03-04,2022-11-29,1,533.5849445413712,46.50110486814296
W-157,Qatar,TotalEnergies,Corrective,Night,Failure,Sunny,High,2023-05-25,2022-07-01,3,524.2997608633423,30.872780525778825
W-158,Algeria,TotalEnergies,Routine,Day,Standby,Rainy,Medium,2023-09-24,2023-03-08,5,374.2606754894861,36.95915005086398
W-159,Abu Dhabi,Shell,Routine,Day,Failure,Cloudy,Low,2023-06-19,2023-03-13,1,593.0180728790797,35.14763123140661
W-160,North Sea,Chevron,Corrective,Day,Failure,Rainy,High,2023-02-18,2022-11-11,2,423.9889031509914,40.23517266223376
W-161,North Sea,TotalEnergies,Routine,Day,Active,Sunny,Medium,2024-06-09,2023-12-12,3,524.2472574411959,36.014999514528995
W-162,Abu Dhabi,TotalEnergies,Emergency,Night,Failure,Cloudy,Critical,2024-03-13,2022-08-15,2,444.85182658988697,31.36774404812321
W-163,Algeria,ExxonMobil,Corrective,Day,Failure,Sunny,High,2023-06-30,2023-01-16,3,542.5257908341202,29.17473126324163
W-164,Abu Dhabi,BP,Routine,Day,Failure,Rainy,Low,2023-12-26,2022-06-17,4,356.58434584220123,38.05244802046098
W-165,North Sea,Shell,Corrective,Day,Failure,Sandstorm,Critical,2023-05-01,2023-02-23,1,559.9613968695191,29.58099002364891
W-166,Texas,Shell,Corrective,Night,Standby,Windy,Medium,2024-06-18,2023-01-02,1,578.9107111428732,40.918702430840504
W-167,Qatar,Chevron,Corrective,Night,Active,Sunny,Medium,2023-03-10,2023-01-18,3,513.9173789939236,37.76596343862094
W-168,North Sea,Chevron,Routine,Day,Active,Rainy,High,2023-01-03,2022-11-20,3,697.2676070242032,35.43354575072551
W-169,Abu Dhabi,Shell,Emergency,Day,Standby,Cloudy,High,2023-10-29,2023-02-13,3,524.8592384974856,28.43872483620263
W-170,Qatar,Chevron,Emergency,Day,Failure,Sunny,High,2023-12-16,2022-12-01,2,610.2504512044002,38.376615715563695
W-171,Abu Dhabi,ExxonMobil,Routine,Night,Standby,Sunny,Medium,2023-12-14,2023-10-28,1,511.0900157358857,43.08383037406854
W-172,Abu Dhabi,Shell,Corrective,Night,Failure,Windy,Critical,2023-02-02,2022-11-18,3,599.5278636805666,32.874525959657284
W-173,Texas,Chevron,Routine,Night,Standby,Rainy,Medium,2023-07-08,2022-11-21,5,316.0034821206291,31.290463313363848
W-174,Qatar,Shell,Routine,Day,Active,Sandstorm,Low,2023-10-27,2023-03-15,0,503.95337568501037,34.53987103835887
W-175,Qatar,BP,Routine,Night,Active,Cloudy,Medium,2023-05-10,2023-03-21,8,364.7677564641966,37.33471135965941
W-176,Texas,TotalEnergies,Corrective,Day,Active,Rainy,Low,2024-06-07,2022-06-03,4,516.8512634734142,32.34390393500136
W-177,North Sea,Shell,Routine,Day,Failure,Cloudy,Critical,2023-02-22,2023-02-03,1,546.1031252012087,39.49599072995004
W-178,Abu Dhabi,TotalEnergies,Corrective,Day,Failure,Sunny,High,2023-10-20,2022-07-31,6,596.8997135655026,44.55358987135182
W-179,Algeria,Chevron,Routine,Night,Standby,Windy,High,2024-02-19,2023-04-02,0,558.7891911686697,36.65122941758967
W-180,Abu Dhabi,TotalEnergies,Emergency,Day,Standby,Windy,Medium,2023-06-07,2022-06-15,7,459.57764422674313,33.37506948490837
W-181,Abu Dhabi,Shell,Routine,Night,Active,Sandstorm,High,2024-01-10,2023-01-31,1,409.56854139670276,37.20001887424456
W-182,North Sea,BP,Routine,Night,Failure,Windy,Critical,2024-05-12,2022-10-11,3,218.89718003100046,40.88649781500553
W-183,Abu Dhabi,Chevron,Emergency,Day,Standby,Sunny,High,2023-04-25,2023-04-16,1,508.2623093420662,35.79818314276008
W-184,Texas,Shell,Corrective,Day,Failure,Sandstorm,Medium,2024-07-04,2024-01-19,1,636.543405717084,37.425475155516004
W-185,Texas,Chevron,Corrective,Night,Failure,Rainy,Critical,2023-11-29,2023-09-24,2,513.0072159977833,38.52383094371147
W-186,Qatar,ExxonMobil,Routine,Day,Active,Windy,Low,2023-06-29,2023-05-01,8,489.82979705261465,30.622770720729516
W-187,Algeria,TotalEnergies,Emergency,Night,Active,Sandstorm,Medium,2023-09-16,2023-06-17,2,517.1668746259293,37.295606707048044
W-188,Abu Dhabi,ExxonMobil,Corrective,Day,Failure,Sunny,Low,2023-07-07,2022-06-25,6,453.4748720068284,28.290255979121003
W-189,Abu Dhabi,Shell,Routine,Night,Failure,Cloudy,Critical,2024-03-11,2022-10-03,3,523.3961463008666,31.7078443095145
W-190,North Sea,BP,Emergency,Night,Failure,Cloudy,Medium,2024-04-22,2023-12-08,3,451.40436064248905,40.72831200643147
W-191,Texas,Chevron,Corrective,Night,Failure,Sunny,Medium,2024-05-14,2023-01-06,5,392.1342321174103,39.35517617655383
W-192,Algeria,TotalEnergies,Corrective,Night,Active,Sunny,Critical,2024-08-14,2022-08-02,8,490.96416864297015,33.64909994883796
W-193,Qatar,Chevron,Emergency,Day,Standby,Cloudy,High,2024-04-19,2023-07-27,3,488.3476471262399,43.52896716722866
W-194,Texas,Shell,Emergency,Day,Active,Sandstorm,Medium,2023-12-27,2022-11-27,2,725.0204104551544,28.449049597999537
W-195,Qatar,Chevron,Emergency,Night,Standby,Cloudy,Medium,2023-07-23,2022-11-09,2,403.31720083974665,33.97456153521533
W-196,North Sea,TotalEnergies,Emergency,Night,Failure,Sunny,Low,2023-11-23,2023-08-20,3,480.86699551783965,36.375521446562146
W-197,North Sea,Shell,Routine,Day,Standby,Windy,High,2023-01-25,2022-11-05,6,469.2001608366175,20.95876387140485
W-198,Abu Dhabi,Chevron,Emergency,Day,Active,Rainy,Low,2024-03-22,2023-01-31,3,446.2780600903471,34.21168712761952
W-199,Algeria,BP,Corrective,Day,Active,Windy,Low,2023-09-25,2023-06-29,4,561.5726286927982,29.37750883385844
W-200,Qatar,Shell,Corrective,Day,Failure,Windy,High,2023-01-13,2022-11-20,4,768.5555621389061,29.491314685674432
W-201,Texas,Shell,Routine,Day,Active,Sunny,High,2023-02-07,2022-11-19,3,461.5007363995269,33.63885057815071
W-202,North Sea,BP,Corrective,Day,Failure,Cloudy,Critical,2023-08-21,2022-06-19,4,561.9073389943446,25.871708148494847
W-203,Abu Dhabi,ExxonMobil,Corrective,Night,Active,Sandstorm,High,2023-12-17,2022-08-12,5,270.5153610863346,30.96020108220229
W-204,Abu Dhabi,TotalEnergies,Emergency,Day,Active,Windy,Medium,2023-10-06,2023-06-15,6,452.7764564019162,25.98858821997387
W-205,Qatar,ExxonMobil,Corrective,Day,Failure,Cloudy,High,2024-01-07,2023-11-22,3,686.628936753464,35.61893523389152
