student_id,study_hours_per_week,exercise_hours_per_week,sleep_hours_per_night,screen_hours_per_day,enjoys_group_work,lunch_at_school,favorite_subject_Arts,favorite_subject_Language,favorite_subject_Math,favorite_subject_Other,favorite_subject_Science,lifestyle_profile
S0161,15,0,8.7,2.6,0,1,0,0,0,0,1,Academic_Focused
S0162,16,9,7.3,1.0,1,1,0,0,1,0,0,Sport_Focused
S0163,13,10,7.6,5.5,1,1,0,0,0,1,0,Sport_Focused
S0164,24,3,7.5,3.8,1,0,0,0,1,0,0,Academic_Focused
S0165,19,7,8.0,3.3,0,0,0,0,1,0,0,Balanced
S0166,8,2,7.8,9.8,1,1,0,1,0,0,0,Screen_Heavy
S0167,14,4,8.4,4.3,1,1,0,0,1,0,0,Balanced
S0168,16,8,8.3,7.0,1,1,0,1,0,0,0,Balanced
S0169,21,5,8.1,5.4,0,0,1,0,0,0,0,Balanced
S0170,30,3,7.2,7.8,1,1,0,0,1,0,0,Academic_Focused
S0171,14,5,8.1,3.0,1,1,0,0,1,0,0,Sport_Focused
S0172,19,7,7.2,3.0,0,0,0,1,0,0,0,Balanced
S0173,18,2,5.7,6.3,0,1,0,0,0,0,1,Academic_Focused
S0174,14,4,6.8,4.7,1,1,0,0,1,0,0,Balanced
S0175,15,8,6.7,5.3,1,1,0,0,0,0,1,Sport_Focused
S0176,22,8,6.8,4.1,1,1,1,0,0,0,0,Balanced
S0177,11,8,7.4,3.3,1,1,0,0,0,1,0,Sport_Focused
S0178,22,2,6.2,3.9,1,1,0,1,0,0,0,Academic_Focused
S0179,0,0,6.5,8.3,0,1,0,1,0,0,0,Screen_Heavy
S0180,29,1,7.2,4.0,1,0,0,1,0,0,0,Balanced
S0181,15,6,8.7,5.1,0,1,0,0,0,1,0,Balanced
S0182,22,1,7.4,3.3,1,1,0,0,0,0,1,Balanced
S0183,14,5,5.5,9.0,1,1,0,1,0,0,0,Screen_Heavy
S0184,4,2,6.7,11.5,1,0,0,0,0,1,0,Screen_Heavy
S0185,19,4,7.9,4.4,0,0,1,0,0,0,0,Balanced
S0186,11,8,7.5,6.0,1,1,0,0,0,0,1,Sport_Focused
S0187,3,5,7.1,8.4,0,0,0,1,0,0,0,Screen_Heavy
S0188,16,0,8.1,7.4,0,0,0,1,0,0,0,Academic_Focused
S0189,19,5,6.5,1.8,1,0,0,0,1,0,0,Academic_Focused
S0190,21,3,8.8,5.7,1,0,0,0,0,1,0,Balanced
S0191,14,4,7.2,6.3,0,0,0,1,0,0,0,Balanced
S0192,7,3,7.1,9.5,0,0,1,0,0,0,0,Screen_Heavy
S0193,7,2,5.8,8.0,1,1,1,0,0,0,0,Screen_Heavy
S0194,12,7,6.4,3.8,1,0,0,0,0,0,1,Sport_Focused
S0195,17,5,7.4,3.9,0,1,1,0,0,0,0,Balanced
S0196,15,4,8.2,5.4,0,0,0,0,1,0,0,Balanced
S0197,8,10,7.0,4.0,1,1,0,0,0,1,0,Sport_Focused
S0198,17,4,6.7,7.0,0,0,0,1,0,0,0,Screen_Heavy
S0199,11,4,5.6,8.1,1,1,0,0,0,1,0,Screen_Heavy
S0200,12,7,7.2,3.7,1,1,0,0,0,1,0,Sport_Focused
S0201,12,8,8.1,2.0,0,1,0,0,0,0,1,Sport_Focused
S0202,21,3,7.1,4.5,1,1,0,0,1,0,0,Balanced
S0203,19,7,6.4,3.2,0,1,1,0,0,0,0,Balanced
S0204,10,1,5.8,8.8,0,1,0,1,0,0,0,Screen_Heavy
S0205,12,7,7.7,3.7,1,1,0,0,0,0,1,Sport_Focused
S0206,8,5,7.5,6.7,0,0,0,0,0,0,1,Balanced
S0207,19,2,8.5,4.1,0,1,0,0,1,0,0,Balanced
S0208,14,9,8.1,5.9,1,1,0,0,0,0,1,Sport_Focused
S0209,15,7,6.8,7.5,0,1,0,0,1,0,0,Balanced
S0210,16,5,7.5,3.5,1,1,1,0,0,0,0,Balanced
S0211,26,3,7.4,5.6,1,0,0,1,0,0,0,Academic_Focused
S0212,18,7,8.0,2.1,1,1,0,0,0,1,0,Sport_Focused
S0213,14,11,7.0,2.4,0,1,0,0,0,0,1,Sport_Focused
S0214,17,4,6.8,4.3,1,0,0,0,0,1,0,Balanced
S0215,18,6,8.6,6.3,1,0,0,0,1,0,0,Sport_Focused
S0216,20,9,7.7,6.7,1,1,0,0,0,1,0,Balanced
S0217,18,2,7.4,7.5,1,0,0,0,0,0,1,Balanced
S0218,16,5,8.3,5.5,0,1,0,0,1,0,0,Sport_Focused
S0219,18,11,6.8,2.1,1,0,0,0,0,1,0,Sport_Focused
S0220,12,0,7.5,6.2,1,1,1,0,0,0,0,Screen_Heavy
S0221,17,8,6.6,3.5,1,1,0,0,0,0,1,Sport_Focused
S0222,22,6,7.5,4.4,0,1,0,0,0,0,1,Academic_Focused
S0223,27,2,7.5,6.7,1,0,0,0,0,1,0,Balanced
S0224,23,4,5.9,4.9,0,1,0,0,1,0,0,Academic_Focused
S0225,19,5,7.8,4.1,1,1,0,1,0,0,0,Balanced
S0226,20,5,7.4,5.6,1,0,0,0,0,0,1,Balanced
S0227,13,0,5.7,8.9,0,1,1,0,0,0,0,Screen_Heavy
S0228,27,3,7.4,1.5,1,0,0,0,1,0,0,Academic_Focused
S0229,8,2,6.2,7.9,0,1,1,0,0,0,0,Screen_Heavy
S0230,12,5,6.7,1.1,0,0,0,0,0,1,0,Sport_Focused
S0231,8,10,7.1,4.7,1,1,0,0,1,0,0,Sport_Focused
S0232,22,2,5.9,4.1,1,1,0,0,1,0,0,Academic_Focused
S0233,23,4,7.1,5.2,0,1,0,0,1,0,0,Academic_Focused
S0234,22,5,7.5,3.4,0,1,0,1,0,0,0,Academic_Focused
S0235,17,8,6.6,5.0,1,1,0,0,0,1,0,Balanced
S0236,13,8,6.7,5.6,0,1,0,0,0,0,1,Sport_Focused
S0237,15,7,7.5,7.0,1,1,0,0,1,0,0,Balanced
S0238,16,5,7.7,4.3,1,1,0,0,1,0,0,Balanced
S0239,20,6,7.2,2.6,1,0,0,0,0,0,1,Sport_Focused
S0240,22,3,6.8,7.7,1,1,0,0,0,1,0,Balanced
S0241,15,1,6.1,8.9,0,0,0,1,0,0,0,Screen_Heavy
S0242,16,0,6.0,8.5,0,1,1,0,0,0,0,Screen_Heavy
S0243,12,4,7.0,5.0,0,0,0,1,0,0,0,Screen_Heavy
S0244,25,1,5.4,4.3,0,1,0,1,0,0,0,Academic_Focused
S0245,17,9,7.6,5.7,0,1,0,0,0,1,0,Balanced
S0246,8,3,5.5,5.6,0,0,0,0,0,1,0,Screen_Heavy
S0247,27,6,7.0,5.3,1,0,0,0,1,0,0,Academic_Focused
S0248,7,4,6.5,8.9,0,0,0,1,0,0,0,Screen_Heavy
S0249,12,2,6.5,6.7,0,1,0,0,0,1,0,Screen_Heavy
S0250,11,4,5.7,7.4,1,1,0,0,0,1,0,Screen_Heavy
S0251,21,4,8.1,5.9,0,0,0,1,0,0,0,Balanced
S0252,20,4,6.7,3.2,1,1,0,0,1,0,0,Academic_Focused
S0253,13,2,7.3,7.6,1,1,1,0,0,0,0,Screen_Heavy
S0254,17,4,7.2,5.3,0,0,1,0,0,0,0,Balanced
S0255,16,6,7.9,6.0,1,1,0,0,0,1,0,Balanced
S0256,23,0,6.1,4.2,1,1,0,1,0,0,0,Academic_Focused
S0257,14,4,5.0,6.1,1,1,0,1,0,0,0,Screen_Heavy
S0258,8,8,8.1,1.6,1,1,0,0,0,1,0,Sport_Focused
S0259,23,2,8.2,6.7,1,1,0,0,0,0,1,Academic_Focused
S0260,23,7,6.6,6.4,1,1,1,0,0,0,0,Balanced
S0261,24,6,6.6,5.6,1,1,0,0,0,0,1,Sport_Focused
S0262,10,3,7.1,10.9,1,1,0,0,0,1,0,Screen_Heavy
S0263,25,5,7.9,4.5,0,1,0,0,0,1,0,Balanced
S0264,23,0,8.2,6.8,1,0,0,0,0,0,1,Academic_Focused
S0265,11,3,5.9,6.3,1,1,0,1,0,0,0,Screen_Heavy
S0266,18,11,7.2,3.9,0,0,0,0,0,1,0,Sport_Focused
S0267,9,8,8.4,4.5,1,1,0,0,0,1,0,Sport_Focused
S0268,18,8,8.1,7.0,1,0,0,0,0,0,1,Sport_Focused
S0269,29,4,8.5,2.5,0,1,0,0,1,0,0,Academic_Focused
S0270,26,3,7.2,6.3,1,1,0,1,0,0,0,Balanced
S0271,3,4,6.1,7.9,1,0,0,1,0,0,0,Screen_Heavy
S0272,10,2,7.7,8.2,0,0,0,0,0,1,0,Screen_Heavy
S0273,9,4,6.4,9.6,1,0,1,0,0,0,0,Screen_Heavy
S0274,8,3,6.9,9.2,1,1,1,0,0,0,0,Screen_Heavy
S0275,22,1,6.7,6.1,0,0,0,0,0,0,1,Academic_Focused
S0276,23,0,6.9,3.9,0,1,0,0,1,0,0,Academic_Focused
S0277,12,11,5.8,2.9,0,1,0,0,0,1,0,Sport_Focused
S0278,12,10,6.3,4.3,0,0,0,0,1,0,0,Sport_Focused
S0279,16,6,6.9,3.8,1,1,0,0,0,0,1,Sport_Focused
S0280,12,6,8.2,2.3,0,1,0,0,1,0,0,Sport_Focused
S0281,12,3,5.8,11.4,1,1,0,0,0,1,0,Screen_Heavy
S0282,27,8,7.5,7.9,1,1,0,0,0,1,0,Balanced
S0283,21,4,7.6,3.5,0,1,0,0,1,0,0,Academic_Focused
S0284,18,3,8.7,6.4,1,1,0,0,0,0,1,Balanced
S0285,26,7,7.3,4.8,0,1,0,1,0,0,0,Academic_Focused
S0286,17,8,7.7,4.6,1,1,0,0,0,1,0,Balanced
S0287,32,1,6.1,3.8,0,1,0,0,0,0,1,Academic_Focused
S0288,25,4,7.2,4.0,0,1,0,0,1,0,0,Academic_Focused
S0289,15,5,7.9,7.2,1,0,1,0,0,0,0,Balanced
S0290,30,5,6.9,8.2,0,0,0,0,1,0,0,Academic_Focused
S0291,15,5,7.8,7.2,1,1,0,0,0,1,0,Balanced
S0292,23,7,7.0,7.3,1,0,1,0,0,0,0,Balanced
S0293,11,2,6.9,10.9,0,1,1,0,0,0,0,Screen_Heavy
S0294,21,4,8.3,3.6,1,1,0,0,1,0,0,Academic_Focused
S0295,15,4,8.0,4.8,0,1,1,0,0,0,0,Balanced
S0296,21,3,5.7,1.0,0,1,0,1,0,0,0,Academic_Focused
S0297,24,9,7.0,4.6,0,1,0,0,1,0,0,Sport_Focused
S0298,22,2,7.9,5.8,0,0,1,0,0,0,0,Balanced
S0299,13,7,6.5,3.1,0,0,0,0,1,0,0,Sport_Focused
S0300,22,6,7.3,7.1,1,0,0,1,0,0,0,Balanced
S0301,26,4,7.6,4.4,1,1,0,0,1,0,0,Balanced
S0302,30,1,7.3,4.6,1,1,0,1,0,0,0,Academic_Focused
S0303,21,3,7.0,3.7,0,1,0,0,0,0,1,Academic_Focused
S0304,10,9,8.3,4.4,0,1,0,0,0,0,1,Sport_Focused
S0305,23,10,7.6,5.1,0,0,0,0,1,0,0,Sport_Focused
S0306,17,1,5.4,6.9,0,0,1,0,0,0,0,Screen_Heavy
S0307,26,0,7.4,5.8,1,1,0,0,0,0,1,Academic_Focused
S0308,23,7,7.8,4.8,0,1,0,0,0,1,0,Balanced
S0309,16,8,7.6,2.4,0,1,0,0,0,1,0,Sport_Focused
S0310,13,9,7.4,3.1,0,1,1,0,0,0,0,Balanced
S0311,15,2,7.2,1.7,0,1,0,0,1,0,0,Academic_Focused
S0312,11,7,7.0,4.8,0,0,1,0,0,0,0,Balanced
S0313,13,6,7.9,3.8,0,1,0,0,1,0,0,Balanced
S0314,11,3,6.5,8.9,1,1,0,0,0,1,0,Screen_Heavy
S0315,11,2,6.0,7.6,1,1,0,1,0,0,0,Screen_Heavy
S0316,13,7,7.3,3.1,0,0,0,0,0,1,0,Sport_Focused
S0317,18,2,6.6,6.1,1,1,0,0,1,0,0,Academic_Focused
S0318,15,2,7.2,5.3,1,0,0,0,0,1,0,Balanced
S0319,21,8,7.5,3.2,1,1,0,0,0,0,1,Balanced
S0320,12,7,7.0,5.0,0,1,0,0,0,0,1,Balanced
S0321,20,0,7.4,7.3,0,0,0,0,0,0,1,Academic_Focused
S0322,17,4,7.3,4.8,1,0,0,0,0,0,1,Sport_Focused
S0323,2,5,7.2,5.1,1,1,0,0,0,1,0,Sport_Focused
S0324,24,4,7.4,4.6,0,1,0,0,1,0,0,Balanced
S0325,10,5,6.3,10.0,0,0,0,0,0,1,0,Screen_Heavy
S0326,12,7,7.4,3.8,1,1,0,0,0,1,0,Sport_Focused
S0327,26,5,8.1,8.1,0,1,0,0,1,0,0,Academic_Focused
S0328,20,6,6.4,4.8,1,1,0,0,0,1,0,Sport_Focused
S0329,35,8,8.0,5.1,0,1,0,0,0,0,1,Academic_Focused
S0330,13,4,7.7,2.5,1,1,0,0,0,1,0,Balanced
S0331,21,2,7.2,3.6,0,0,0,0,1,0,0,Academic_Focused
S0332,15,6,8.7,1.4,0,1,0,0,0,1,0,Sport_Focused
S0333,16,6,7.6,1.8,0,1,1,0,0,0,0,Balanced
S0334,16,6,6.6,6.2,1,0,0,0,1,0,0,Balanced
S0335,12,4,7.6,3.7,1,1,0,1,0,0,0,Balanced
S0336,16,8,7.2,5.5,1,1,0,0,1,0,0,Balanced
S0337,11,2,6.3,9.3,0,1,0,1,0,0,0,Screen_Heavy
S0338,14,7,6.5,2.5,1,1,0,0,0,0,1,Sport_Focused
S0339,30,6,6.2,5.1,0,1,0,0,1,0,0,Academic_Focused
S0340,9,5,7.3,6.0,1,0,0,0,0,1,0,Balanced
S0341,29,6,6.6,3.5,1,1,0,0,1,0,0,Academic_Focused
S0342,23,1,6.2,4.6,0,1,0,1,0,0,0,Academic_Focused
S0343,17,2,8.2,6.2,1,1,0,0,0,0,1,Balanced
S0344,24,6,6.7,5.2,0,1,0,0,0,0,1,Academic_Focused
S0345,22,5,6.6,3.4,0,0,0,0,1,0,0,Academic_Focused
S0346,19,9,7.3,4.1,1,1,0,0,1,0,0,Sport_Focused
S0347,18,11,6.4,5.6,1,1,0,0,0,0,1,Sport_Focused
S0348,18,4,8.6,5.3,1,0,0,0,0,0,1,Balanced
S0349,24,2,6.8,4.3,1,1,0,0,1,0,0,Academic_Focused
S0350,9,9,7.6,3.9,1,0,0,0,1,0,0,Sport_Focused
S0351,27,2,7.5,5.6,1,1,0,0,0,0,1,Academic_Focused
S0352,7,3,6.5,7.1,0,1,0,1,0,0,0,Screen_Heavy
S0353,17,6,7.7,4.2,0,0,0,0,0,0,1,Sport_Focused
S0354,13,5,7.2,6.6,0,1,0,0,0,1,0,Balanced
S0355,23,4,7.3,6.7,1,1,0,0,1,0,0,Balanced
S0356,14,6,7.9,3.7,1,1,0,0,0,0,1,Sport_Focused
S0357,12,7,7.1,3.9,0,1,0,1,0,0,0,Balanced
S0358,29,6,7.5,1.8,1,1,0,1,0,0,0,Academic_Focused
S0359,14,2,6.4,9.1,0,1,0,0,0,1,0,Screen_Heavy
S0360,21,2,7.3,1.0,0,1,0,0,1,0,0,Academic_Focused
S0361,25,0,6.6,4.6,0,1,0,0,1,0,0,Academic_Focused
S0362,19,7,7.5,2.5,1,1,0,0,0,0,1,Sport_Focused
S0363,24,2,6.2,1.0,0,1,0,1,0,0,0,Academic_Focused
S0364,26,2,5.0,4.0,0,1,0,0,1,0,0,Academic_Focused
S0365,9,2,6.6,10.0,0,1,0,0,0,1,0,Screen_Heavy
S0366,21,2,7.3,3.3,0,1,0,1,0,0,0,Academic_Focused
S0367,16,0,7.7,7.5,1,1,0,0,0,1,0,Screen_Heavy
S0368,3,1,6.3,9.9,0,0,1,0,0,0,0,Screen_Heavy
S0369,19,3,8.3,4.6,1,1,0,0,0,0,1,Balanced
S0370,22,8,7.2,4.1,0,0,0,1,0,0,0,Balanced
